Poster_Url,poster_path,download_status,download_error,poster_available,poster_width,poster_height,poster_aspect_ratio,poster_format,poster_validation_error
https://image.tmdb.org/t/p/original/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,data/poster_cache/a8e35ac7159d9650d8143122145b354275fe5ad8f016ccd8524b4508d94882c8.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg,data/poster_cache/0a4eece7af69330701bfff64fe2de43c44edc4d43c9999d15f7c9b1b08c2198c.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg,data/poster_cache/94d5e391d012b6a72c13966f7f6606b2a0e3f8b71e65a9be8a8905cd20031aa1.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/y94auaBWq1E7sun3ZpvBmQfGUW.jpg,data/poster_cache/807f826a8116cf8375c8a70ea7c671f94c01af896492d266e10df0da9a4513af.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/m7mNjsZKuLpBWYNGSTLmWKOYkvl.jpg,data/poster_cache/e23f9a53bc4d3fbec07b9a8f182357b274ecf6240a24d0d16ef6c02472f9bdb9.jpg,cached,,True,768,1152,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/2AbGdSGlU6CpiV3lswHUgE5CdAA.jpg,data/poster_cache/b06c321569c657a176d05cdf41d85bd2cd2f0cd95e2457332bc2e618f95da62f.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/M7SUK85sKjaStg4TKhlAVyGlz3.jpg,data/poster_cache/3141abbc002ada876238ad3b2ba53e6bf7be9d6bcf7ee093a675c23a7ca40965.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/p6T9g5a227cUs4rlTlaxo8QAqIf.jpg,data/poster_cache/aac601b89f8b23974f961f4d2d88ddc213eb35eefc34358801b26bd3829788a9.jpg,cached,,True,978,1467,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/3dspgMFx64kA8BqkGZQK6Hk1sCV.jpg,data/poster_cache/76ec1109e70b277b7f44249adc59cf669b004ba3d98000ad01b1e731ac19ffcc.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/vQxtoPJVfpHgL7DCg9hQFZKDWJa.jpg,data/poster_cache/3aaf5e4b02511cf13a844c4e6d8374f617388acf87c17d743f07d5e9a68464e5.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/odVv1sqVs0KxBXiA8bhIBlPgalx.jpg,data/poster_cache/c43e007fe98d2d145e68c10907081d32f75e19e5609413fd4661db78ad4ed29b.jpg,cached,,True,1600,2400,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/fSbqPbqXa7ePo8bcnZYN9AHv6zA.jpg,data/poster_cache/95fd16c4639b94390ff87e474bba476db29b8f9cf7c8c50a057cb9c5165064ac.jpg,cached,,True,1400,2100,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/ubaCN0FjWhxiu1uHhI9oXSgalVK.jpg,data/poster_cache/1c44039282082ad8f367e78e753d18f8253df7e720bf24bc7e01542f790789af.jpg,cached,,True,500,750,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/mzTNGnLG6LTHmrqrY0IADHDuyOJ.jpg,data/poster_cache/62176e5acddb20da1966f3c045cb44cfe73cddd0b26bedda427a77d8668ffdb3.jpg,cached,,True,1280,1920,0.6666666666666666,JPEG,
https://image.tmdb.org/t/p/original/niw2AKHz6XmwiRMLWaoyAOAti0G.jpg,data/poster_cache/2aa2025beea913a309b391dd6a3056461cd1d10b75d8352db6b6ac7eb809ee41.jpg,cached,,True,2000,3000,0.6666666666666666,JPEG,
